file,image_sha256,mask_sha256,target_pixels,target_contrast_mean,background_contrast_mean
000001.png,90DBB0B7EDE9F97586D4A67B13C73DF50B9299E103C5F3160C9D2A0906225A7E,80CC2E9B1D25D80DBE7FD2A7218585E27BF5D73A1381DB59F1A656FD90E5FFD8,9,0.10095483809709549,0.0029203244484961033
000003.png,2D6A6D26E4C4EBDA59FE9D255D77B5C447E65A533EEA1851A0C818298AAC4389,2638B57B5895A100FE4D1780A9EE238701E6FFE81484D456C5921E5FE51F8C2D,9,0.09758735448122025,0.002377492841333151
000009.png,E1D6097C3D4A3A1F156525C7E252352A0ED168CAC00977865F242B59F86F143F,DA52A35676AD3B656A5B0CA5DA57155686930E9DC8673E7B558B6D8A3A1CA472,27,0.08564691990613937,0.0076867868192493916
000010.png,FE70B0F6C232A8EE12FF15698B5974C10C80BD4DB71E2148C8C4A769780C71E9,AA244EAEB8F0064A8AFC8E2A09E237531806A54021F9F662A1FA0E97E7077783,9,0.10379516333341599,0.005796884186565876
000011.png,274CF5E4A4865F4B43CBB514BD97F3F1E57DA52CEA45E18A87A9068D8E6884CC,1109FBC6696DA4C35D10A1CF7165203EC5C0BD91C839F8842BCB4FDD64E491DA,9,0.10254713892936707,0.00812598504126072
000012.png,6C5917345DAF36E69A215ADF588171DC3AB3F1F18E5273B11B5376E5EF34B58F,B6C49FE76C3E6A82D10484A0EF8911DC7CC0B77775FBFF0DEF1051F1320AA817,18,0.09881385415792465,0.0023080857936292887
000015.png,0ED8F855802ADD31D40BFFEF8701A2AE0FCBCEC74AAFCBF65B8449E6EAA91543,88F8A49C174E40CAD40B02F115A513CD89A82F9117D16B2F90639C614CAB6685,9,0.0829392820596695,0.005319713149219751
000016.png,8E226EA6B28372BBF5F57F9145F9894F69D04041E1B2596FFAD25594716FFB18,F475C32005790B97375521483CA273B2EAA1334007EEE171057C84B3985B9E75,9,0.08537077903747559,0.00534009886905551
000019.png,3F38459CE5E4203458049E5D3F3E85401401EB7A94B0A10F78876F7E72866872,6F4767EC01F09C4BAC78CCD95552C9D3BE4F77E7BAEBE143059B556110C17FEE,9,0.11500578373670578,0.006657432299107313
000020.png,01B51AF2787A3E3DD9823BA162B302C142823D0DC3632F762E19821B481CDE4E,AD72AFAAE48673E2B7E846AC38EEB8DCA45CCB7BC2C7266E3908388887091C77,9,0.10126145929098129,0.004444431979209185
000021.png,41384A0CBE5EE5AE33675834F653FE2FD3A20E28C41B157A602C153BF01112EC,868BA39A502FEEA1B82615D7EA467D7E9FFCCF3C6E82031695443867665DA752,9,0.10917991399765015,0.0037714969366788864
000022.png,A7CF3BEB074189226C15C9C76A9A535EDD87ED44A893E020D37647E654743290,DFD22F4229B1D64534BE6E42231729BEA0380F35C03AA8A40D583B563425E77A,9,0.09955081343650818,0.0022620863746851683
000023.png,161353AC7AF1D2C5D5A2975A638F43C797A6B5AD033B347D1A3DB975483A1B0A,C3F484A53AE3165E0827321B703C4AFAE0435DDC9E9371924AD0EC1A32B5E957,9,0.09955081343650818,0.0017331126146018505
000025.png,F6944549C71EB6B3FC5CD24DCB0723E9FAA9B18418C41042F5C987B961A2DE54,A315E26CBF5E3DDCE3114315EB228A1F1D5EE657BE5D6B0D5C9F225F9DBD84A7,9,0.10067510604858398,0.001852845773100853
000026.png,E53604771713A1A75A9EE788BECFDDE9A008A28793EFF660950C26D1F1C2E214,2E50700943555B5D655884E6B7D18317DEF35517D99367B08258707BC3AE85ED,9,0.09899137914180756,0.0029032821767032146
000027.png,E31FB4741F01129C2BDF87E24A7D01FBFA7F4E7F671582A3AEAEE84DC5C54742,E39177E56122BCF77EDF69A9CA2EF6526EFAF2E1CE7A49442804FC0E69FC62C0,18,0.10017213970422745,0.003687846940010786
000032.png,D433FDB325112350B7B83C6BC0E55F0F9128FC5E9FD9022B9BA0869257025F7B,E3DFA1B4D44F60CA4ECF0A61D946D3AE62711803A772FB31F4CC16922B56EF13,9,0.09477392584085464,0.00527427950873971
000036.png,A5DC5ACC5C05B69DE54CE344ADD056FA7A9132E17C600DA2261E32756E9714C1,5A0469EB13264656DA1C36A69354392D6F1FC46C69B4E418F705E59EAC5C2138,9,0.1021813303232193,0.0019528715638443828
000038.png,6225D0DA85BD73BCCAAEE473F9591A98CA162F35AEED04C678E9D676AB37A7A6,C61924CEBC1031E364AC92DB098ADA22C6A5BE51C9E649DAC580087281871B57,36,0.08702358603477478,0.005481921602040529
000041.png,1DE40377E9BCAD87F6934AD49F8426767C1DE48E23011DDCD256A1B4CE8720BD,B876792CF4A309000F86E0689624C18C150ABD244FA26E03AA4BA00B437C4AB8,36,0.11071304231882095,0.004342969506978989
000043.png,38654F8E94A705989197929F66212900A67CA0E351D7C3FC5ACFEB32F83DA5C0,5CEB5A65D0908F1D747C0088750918F85C32E9CAFFEC91A56A353C42FF265B13,9,0.09617255628108978,0.00264938292093575
000045.png,ECE6EEDC9B0C1D7C36E9DDEF072B96240D28C5C8EBEAFE0AEB60510E79478454,D28F803601EDB9EE0C8044A190307294E2732965880F607F2A8ECC27B69675DB,9,0.09193360805511475,0.0024821925908327103
000046.png,53FA27009351E7AC87B1819A87EB9CB1C436E90AC8AA1061E7CF1FFD5433BBDD,A4852C7DDF3DFE99D59A81F72111C3EB865BEBDA21D5C91648A476495AFCE984,18,0.09889722615480423,0.0035142137203365564
000047.png,1A0F60A2930C87B4B2523359280241F558CD6E8CF6D4339AA6EB63479317A286,3B134C2D5B0A8A99AB86321FB779B69745B7F18242053733354389C92F490893,9,0.09815756976604462,0.0020735764410346746
000051.png,7B431097439C2056AC6CC5E7666DC4AC881C42A9FB02E272C8E65CA7067C0ACF,332B0F905C234025A450F5642285968431A527FEF6C51E275D06242225006124,27,0.10308507829904556,0.004853466525673866
000053.png,FB8D7E9BE98D71FAB218D61A04B5D674F88415F5EC3CB96ED47F057D87C9E290,1B1AF58B478985537CA709AC1CDF34F5F3C9050DE06E274EDB4913EA0D51FF77,9,0.0991850197315216,0.0028510703705251217
000055.png,147CF66D19ABABF4D419E9270A48459508F7E3F2F234348AD6D8A9C37966C3C1,BBD0F7609AE9467A540EBBC7D4CC299FEF25C8EB85D43C8C3309756B5D22E824,9,0.09788858890533447,0.004457573872059584
000059.png,7C0C94C3669AB3D91574223FC09003B00E4BFAEC240176E316659B361D3FA9D3,41CA45CF97474AD89D2A2C29330010A2DB1F654E60071BEBA3465DB50B1703D9,36,0.10059980303049088,0.0022416331339627504
000060.png,E6E6C6935CEE9754752CE33A9C2C347191D5C671F01E8FB923D53FCBB4E01A20,0F0FBA20F00CCDB9F346311162E080AA2A07DBB4DBB44FCD386654A85DACAD34,9,0.10286452621221542,0.001997335348278284
000062.png,A863598E73B18EFD0192AA7EB9F0056CDD108D97C78C6BEA2B4DD03DC0130998,5D2427044A9F11A92A551CBDE2123A68299E81B35CDFA28C30E4982C3C0EA936,36,0.09956696629524231,0.0015021392609924078
000067.png,BB006C31A76F5AA93C0B60D7C648676AFC47D2B53B412CA9C6622E9E1861A3C7,9C21E68541A45CD7131A05047CA4A5F96D862C2FEF1DECE1AA5BCC7650BAA2F8,9,0.10288066416978836,0.004307673778384924
000071.png,E1A1FF915E02BF113EBA56D4CEC1281698B830B78E30535D9A863833738DA481,47C87BF2E490E3DE3080BB548224925A5B84827DC36CCBAE53A38ED1A8ABB8F2,18,0.09653837233781815,0.0040487125515937805
